;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;16;5;67.375
1;2;Champagne;0;1;
2;3;Picardie;0;0;
3;4;Haute-Normandie;4;1;22.5
4;5;Centre;4;2;99.0
5;6;Basse-Normandie;0;1;
6;7;Bourgogne;0;1;
7;8;Nord;4;7;35.0
8;9;Lorraine;2;1;45.0
9;10;Alsace;0;1;
10;11;Franche Comté;0;0;
11;12;Pays de la Loire;0;1;
12;13;Bretagne;0;0;
13;14;Poitou Charentes;1;2;10.0
14;15;Aquitaine;0;1;
15;16;Midi-Pyrénées;0;0;
16;17;limousin;0;1;
17;18;Rhône-Alpes;17;3;60.5882352941
18;19;Auvergne;2;1;12.5
19;20;Languedoc;0;1;
20;21;Provence Côte d'Azur;6;2;55.0
