;nomen;revenu;agglo9;loc_log;stat_log;nb_voit;nb_tv;jardin;micro_onde;frigo;congelo;four;soins;situ_fin;situ_alim;manq_alim;viande;jard_potager;jard_verger;jard_pelouse;jard_poules;nbpers;sexe_chef;age_chefq;nbadu;nbenf;agglo5;ech;cspc;reg;pcschef;up;jard_rien;sitalim_regime;sitalim_temps;sitalim_argent;sitalim_depl;sitalim_rhf;sitalim_place;sitalim_autre;chef_diplo;chef_situprof;chef_statempl;chef_typempl;chef_atrav;chef_nbsal;tage_chef;pond_men;selcuileg;selcuivp;selcuivps;selcuioeuf;saliere;selcrud;typesel;chori;chprix;chlabel;chsani;chhabit;chmarq;chpres;chprod;chgout;chetiq;chnut;claim;inscuisson;insconserv;stokcons;micronde;consopc;dlcoeuf;dlcjamb;dlcsaum;dlcfrom;dlcpl;dlcyao;dlclaif;dlccrem;dlcvian;dlcpcsv;csvjamb;csvcharc;csvpc;csventrf;csvfromc;csvvian;nreprill;nreppate;nrepjamb;nrepsaum;nrepsauc;temp;thermo;tempfrig;alimcru;reste;puits;traiteau;traiteauch;traitcirc;traitusag;systion;systcharb;autsyst;fqtrait;entrprof;entrindi;chfacil;chnouv;chpub;nrchoix;traitnsp;nrtrait;systmemb;systmeca;systuv;systaut;systnsp;nrsyst;entrnsp
336;111755;7;1;3;2;2;3;1;1;1;1;1;2;3;1;4;1;1.0;1.0;1.0;2.0;2;2;42;2;0;1;1;10.0;1;5.0;41030;2.0;;;;;;;;7;1;3.0;1.0;;;4;0.3922344;3.0;1.0;3.0;1.0;2.0;3.0;1.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;1.0;3.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;4.0;1.0;1.0;3.0;1.0;1.0;2.0;2.0;1.0;2.0;;2.0;1.0;2.0;2.0;2.0;2.0;;2.0;;2.0;2.0;2.0;2.0;2.0;;2.0
337;111759;6;1;3;2;3;3;1;1;1;1;1;2;4;2;4;1;1.0;1.0;1.0;2.0;1;2;71;1;0;1;1;16.0;1;7.0;41030;2.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;6;4;3.0;2.0;1.0;;6;0.3936245;2.0;2.0;2.0;4.0;4.0;3.0;2.0;1.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;3.0;4.0;7.0;2.0;7.0;3.0;1.0;1.0;1.0;7.0;1.0;2.0;6.0;6.0;6.0;6.0;6.0;1.0;5.0;5.0;2.0;5.0;4.0;4.0;2.0;4.0;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
338;111760;6;1;3;2;1;3;1;1;1;1;1;2;4;1;4;1;1.0;1.0;1.0;2.0;2;1;62;2;0;1;1;16.0;1;7.0;41030;2.0;;;;;;;;2;4;3.0;2.0;1.0;;6;0.3922347;1.0;1.0;1.0;1.0;4.0;4.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;3.0;2.0;3.0;1.0;1.0;3.0;2.0;4.0;2.0;7.0;2.0;7.0;1.0;2.0;6.0;6.0;6.0;1.0;5.0;3.0;3.0;3.0;2.0;16.0;1.0;;2.0;1.0;3.0;3.0;;;;;;;;;;2.0;1.0;2.0;;;;;;;;;;
339;111762;7;1;3;2;2;2;1;1;1;1;1;2;2;1;4;1;1.0;1.0;1.0;2.0;2;1;35;2;0;1;1;2.0;1;2.0;41030;2.0;;;;;;;;9;1;7.0;9.0;;0.0;4;0.3922344;2.0;2.0;2.0;2.0;4.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;3.0;2.0;1.0;2.0;1.0;1.0;3.0;3.0;7.0;3.0;2.0;1.0;2.0;2.0;6.0;6.0;3.0;2.0;5.0;5.0;2.0;2.0;1.0;3.0;1.0;;2.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
340;111765;9;1;3;1;2;4;1;1;1;1;1;2;2;1;4;1;2.0;2.0;1.0;2.0;4;1;25;2;2;1;1;11.0;1;6.0;41030;2.0;;;;;;;;7;1;3.0;2.0;;;3;0.6465912;2.0;2.0;2.0;2.0;3.0;4.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;4.0;2.0;2.0;2.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;2.0;5.0;99.0;9.0;;1.0;2.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
341;111766;9;1;3;2;2;4;1;1;1;1;1;2;2;1;4;1;1.0;1.0;1.0;2.0;4;1;47;4;0;1;1;11.0;1;6.0;41030;2.0;;;;;;;;3;1;3.0;2.0;;;4;0.3922344;1.0;1.0;1.0;1.0;1.0;4.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;2.0;1.0;3.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
342;111776;9;1;3;1;2;3;2;1;1;1;1;2;3;1;4;1;;;;;6;1;42;2;4;1;1;11.0;1;6.0;41091;;;;;;;;;7;1;1.0;2.0;;;4;0.1307453;1.0;1.0;1.0;1.0;4.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;3.0;3.0;1.0;2.0;2.0;3.0;3.0;4.0;2.0;4.0;3.0;3.0;2.0;2.0;1.0;2.0;3.0;1.0;2.0;2.0;3.0;2.0;3.0;6.0;2.0;5.0;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
343;111779;5;1;3;2;2;3;1;1;1;1;1;2;3;1;4;1;1.0;1.0;1.0;2.0;3;1;73;3;0;1;1;16.0;1;7.0;41091;2.0;;;;;;;;7;4;4.0;2.0;1.0;;6;1.411522;1.0;1.0;1.0;1.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;5.0;2.0;1.0;1.0;1.0;1.0;7.0;1.0;1.0;1.0;1.0;7.0;2.0;2.0;2.0;6.0;2.0;1.0;5.0;5.0;1.0;1.0;1.0;5.0;1.0;;3.0;2.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
344;111784;4;4;2;3;3;2;1;2;1;1;1;2;4;2;4;1;1.0;2.0;2.0;2.0;1;1;56;1;0;2;1;16.0;1;7.0;411010;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;6;4;2.0;6.0;1.0;;5;0.3667453;1.0;1.0;1.0;1.0;4.0;4.0;1.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;4.0;3.0;2.0;1.0;6.0;3.0;3.0;2.0;3.0;4.0;3.0;7.0;2.0;7.0;2.0;7.0;3.0;3.0;6.0;6.0;4.0;3.0;5.0;3.0;3.0;3.0;3.0;16.0;1.0;;3.0;3.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
345;111786;4;4;1;2;3;3;1;1;1;1;1;2;2;1;4;3;1.0;2.0;1.0;2.0;1;2;76;1;0;2;1;18.0;1;8.0;411010;2.0;;;;;;;;6;6;;;2.0;;7;0.3599753;1.0;1.0;1.0;1.0;4.0;4.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;4.0;1.0;1.0;2.0;4.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;7.0;3.0;7.0;7.0;2.0;2.0;6.0;6.0;3.0;1.0;5.0;5.0;2.0;2.0;5.0;2.0;2.0;1.0;1.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
