;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
5946;110972;5;dimanche;1;0;15.0;1.0;2.0
5947;110972;5;dimanche;2;1;;;
5948;110972;5;dimanche;3;0;240.0;1.0;2.0
5949;110972;5;dimanche;4;1;;;
5950;110972;5;dimanche;5;0;90.0;1.0;2.0
5951;110972;5;dimanche;6;1;;;
5988;110974;5;lundi;1;1;;;
5989;110974;5;lundi;2;0;;;
5990;110974;5;lundi;3;0;30.0;5.0;2.0
5991;110974;5;lundi;4;1;;;
5992;110974;5;lundi;5;0;30.0;1.0;2.0
5993;110974;5;lundi;6;1;;;
6030;110978;5;dimanche;1;0;15.0;1.0;1.0
6031;110978;5;dimanche;2;1;;;
6032;110978;5;dimanche;3;0;40.0;1.0;2.0
6033;110978;5;dimanche;4;0;;;
6034;110978;5;dimanche;5;0;30.0;1.0;2.0
6035;110978;5;dimanche;6;1;;;
6072;110979;5;dimanche;1;0;15.0;1.0;2.0
6073;110979;5;dimanche;2;1;;;
6074;110979;5;dimanche;3;0;100.0;3.0;2.0
6075;110979;5;dimanche;4;0;;;
6076;110979;5;dimanche;5;0;50.0;3.0;3.0
6077;110979;5;dimanche;6;1;;;
6114;110984;5;vendredi;1;0;10.0;1.0;1.0
6115;110984;5;vendredi;2;1;;;
6116;110984;5;vendredi;3;0;30.0;1.0;2.0
6117;110984;5;vendredi;4;1;;;
6118;110984;5;vendredi;5;0;30.0;1.0;2.0
6119;110984;5;vendredi;6;1;;;
6156;110985;5;mardi;1;0;20.0;1.0;1.0
6157;110985;5;mardi;2;0;;;
6158;110985;5;mardi;3;0;40.0;5.0;4.0
6159;110985;5;mardi;4;0;;;
6160;110985;5;mardi;5;0;30.0;1.0;2.0
6161;110985;5;mardi;6;1;;;
6198;110987;5;lundi;1;0;15.0;1.0;2.0
6199;110987;5;lundi;2;1;;;
6200;110987;5;lundi;3;0;30.0;1.0;2.0
6201;110987;5;lundi;4;1;;;
6202;110987;5;lundi;5;0;30.0;1.0;2.0
6203;110987;5;lundi;6;1;;;
6240;110988;5;jeudi;1;1;;;
6241;110988;5;jeudi;2;1;;;
6242;110988;5;jeudi;3;0;30.0;1.0;1.0
6243;110988;5;jeudi;4;0;;;
