;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;601;601;210.207965903
1;2;Champagne;129;129;226.872646977
2;3;Picardie;148;148;199.980693568
3;4;Haute-Normandie;132;132;192.426406515
4;5;Centre;203;203;204.034114925
5;6;Basse-Normandie;136;136;187.57462597
6;7;Bourgogne;68;68;200.840342647
7;8;Nord;227;227;227.761905591
8;9;Lorraine;194;194;202.807805464
9;10;Alsace;119;119;228.931576387
10;11;Franche Comté;131;131;178.494002198
11;12;Pays de la Loire;225;225;182.024761467
12;13;Bretagne;220;220;190.487015282
13;14;Poitou Charentes;164;164;182.051393476
14;15;Aquitaine;244;244;184.844796667
15;16;Midi-Pyrénées;153;153;224.995267483
16;17;limousin;44;44;220.048702045
17;18;Rhône-Alpes;343;343;193.556766592
18;19;Auvergne;117;117;199.768010085
19;20;Languedoc;254;254;185.793084357
20;21;Provence Côte d'Azur;227;227;183.19745888
