;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;22;22;189.155854545
1;2;Champagne;4;4;297.5
2;3;Picardie;4;4;234.64285
3;4;Haute-Normandie;5;5;133.028566
4;5;Centre;7;7;270.0
5;6;Basse-Normandie;8;8;297.321425
6;7;Bourgogne;7;7;253.061241429
7;8;Nord;13;13;179.670332923
8;9;Lorraine;5;5;220.71426
9;10;Alsace;3;3;229.999996667
10;11;Franche Comté;25;25;219.9999984
11;12;Pays de la Loire;5;5;297.42856
12;13;Bretagne;10;10;226.57144
13;14;Poitou Charentes;7;7;259.693885714
14;15;Aquitaine;7;7;270.612241429
15;16;Midi-Pyrénées;7;7;242.61905
16;17;limousin;0;0;
17;18;Rhône-Alpes;10;10;204.357139
18;19;Auvergne;6;6;142.85715
19;20;Languedoc;12;12;177.083333333
20;21;Provence Côte d'Azur;9;9;205.492066667
